question,answer,label
피합병법인의 주주등이 합병등기일이 속하는 사업연도의 종료일까지 그 주식등을 보유할 것  요건을 모두 갖춘 합병(이하 “적격합병”이라 한다)의 경우,"가액을 피합병법인의 합병등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
합병대가의 총합계액 중 합병법인의 주식등의 가액이 100분의 80 이상이거나 합병법인의 모회사의 주식등의 가액이 100분의 80 이상인 경우,"가액을 피합병법인의 합병등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",
"합병법인이 합병등기일이 속하는 사업연도의 종료일까지 피합병법인으로부터 승계받은 사업을 계속할 것. 다만, 피합병법인이 다른 법인과 합병하는 것을 유일한 목적으로 하는 법인으로서 대통령령으로 정하는 법인인 경우", 본문의 요건을 갖춘 것으로 본다.  요건을 모두 갖춘 합병(이하 “적격합병”이라 한다)의 ,법인세법
"합병등기일 1개월 전 당시 피합병법인에 종사하는 대통령령으로 정하는 근로자 중 합병법인이 승계한 근로자의 비율이 100분의 80 이상이고, 합병등기일이 속하는 사업연도의 종료일까지 그 비율을 유지할 것  요건을 모두 갖춘 합병(이하 “적격합병”이라 한다)의 경우","가액을 피합병법인의 합병등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
 내국법인이 발행주식총수 또는 출자총액을 소유하고 있는 다른 법인을 합병하거나 그 다른 법인에 합병되는 경우  경우,적격합병으로 보아 양도손익이 없는 것으로 할 수 있다. ,법인세법
 동일한 내국법인이 발행주식총수 또는 출자총액을 소유하고 있는 서로 다른 법인 간에 합병하는 경우  경우,적격합병으로 보아 양도손익이 없는 것으로 할 수 있다. ,법인세법
적격합병을 한 합병법인은 3년 이내의 범위에서 대통령령으로 정하는 기간에  합병법인이 피합병법인으로부터 승계받은 사업을 폐지하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제44조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 제2항에 따라 피합병법인으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면 또는 세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
적격합병을 한 합병법인은 3년 이내의 범위에서 대통령령으로 정하는 기간에  대통령령으로 정하는 피합병법인의 주주등이 합병법인으로부터 받은 주식등을 처분하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제44조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 제2항에 따라 피합병법인으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면 또는 세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
적격합병 한 합병법인은 3년 이내의 범위에서 대통령령으로 정하는 기간에  각 사업연도 종료일 현재 합병법인에 종사하는 대통령령으로 정하는 근로자(이하 이 호에서 “근로자”라 한다) 수가 합병등기일 1개월 전 당시 피합병법인과 합병법인에 각각 종사하는 근로자 수의 합의 100분의 80 미만으로 하락하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제44조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 제2항에 따라 피합병법인으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면 또는 세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
분할등기일 현재 5년 이상 사업을 계속하던 내국법인이 다음 각 목의 요건을 모두 갖추어 분할하는 경우일 것(분할합병의 경우,소멸한 분할합병의 상대방법인 및 분할합병의 상대방법인이 분할등기일 현재 1년 이상 사업을 계속하던 내국법인일 것)  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의,법인세법
분리하여 사업이 가능한 독립된 사업부문을 분할하는 것일 것  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의 경우,"가액을 분할법인등의 분할등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
"분할하는 사업부문의 자산 및 부채가 포괄적으로 승계될 것. 다만, 공동으로 사용하던 자산, 채무자의 변경이 불가능한 부채 등 분할하기 어려운 자산과 부채 등으로서 대통령령으로 정하는 것은 제외한다.  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의 경우","가액을 분할법인등의 분할등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
분할법인등만의 출자에 의하여 분할하는 것일 것  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의 경우,"가액을 분할법인등의 분할등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
분할법인등의 주주가 분할신설법인등으로부터 받은 분할대가의 전액이 주식인 경우(분할합병의 경우,분할대가의 100분의 80 이상이 분할신설법인등의 주식인 경우 또는 분할대가의 100분의 80 이상이 분할합병의 상대방 법인의 발행주식총수 또는 출자총액을 소유하고 있는 내국법인의 주식인 경우를 말한다)로서 그 주식이 분할법인등의 주주가 소유하던 주식의 비율에 따라 배정(분할합병의,법인세법
분할신설법인등이 분할등기일이 속하는 사업연도의 종료일까지 분할법인등으로부터 승계받은 사업을 계속할 것  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의 경우,"가액을 분할법인등의 분할등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
"분할등기일 1개월 전 당시 분할하는 사업부문에 종사하는 대통령령으로 정하는 근로자 중 분할신설법인등이 승계한 근로자의 비율이 100분의 80 이상이고, 분할등기일이 속하는 사업연도의 종료일까지 그 비율을 유지할 것  요건을 모두 갖춘 분할(이하 “적격분할”이라 한다)의 경우","가액을 분할법인등의 분할등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
3년 이내의 범위에서 대통령령으로 정하는 기간에  분할신설법인등이 분할법인등으로부터 승계받은 사업을 폐지하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제46조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 분할법인등으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면ㆍ세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
3년 이내의 범위에서 기간에 분할법인등의 주주가 분할신설법인등으로부터 받은 주식을 처분하는 경우에  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제46조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 분할법인등으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면ㆍ세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
3년 이내의에 사업연도 근로자 수의 합의 100분의 80 미만으로 하락하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제46조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 라 분할법인등으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면ㆍ세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
분할등기일 1개월 전 당시 분할하는 사업부문과 분할합병의 상대방법인에 각각 종사하는 근로자 수의 합의 100분의 80 미만으로 하락하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제46조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 분할법인등으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면ㆍ세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",
적격분할을 한 분할신설법인등은 3년 이내의 범위에서 대통령령으로 정하는 기간에  각 사업연도 종료일 현재 분할신설법인에 종사하는 근로자 수가 분할등기일 1개월 전 당시 분할하는 사업부문과 소멸한 분할합병의 상대방법인에 각각 종사하는 근로자 수의 합의 100분의 80 미만으로 하락하는 경우  사유가 발생하는 경우,"그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 양도받은 자산의 장부가액과 제46조의2 시가와의 차액(시가가 장부가액보다 큰 경우만 해당한다. 이하 제4항에서 같다), 승계받은 결손금 중 공제한 금액 등을 대통령령으로 정하는 바에 따라 익금에 산입하고, 제2항에 따라 분할법인등으로부터 승계받아 공제한 감면ㆍ세액공제액 등을 대통령령으로 정하는 바에 따라 해당 사업연도의 법인세에 더하여 납부한 후 해당 사업연도부터 감면ㆍ세액공제를 적용하지 아니한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
분할법인이 손금에 산입한 양도차익에 상당하는 금액은 적격합병되거나 적격분할하는 등 대통령령으로 정하는 부득이한 사유가 있는 경우,그러하지 아니하다. ,법인세법
사업연도에 해당 주식등과 자산의 처분비율을 고려하여 금액만큼 익금에 삽입해야하는데 분할신설법인이 적격합병되거나 적격분할하는 등 대통령령으로 정하는 부득이한 사유가 있는 경우,그러하지 아니하다. ,법인세법
양도차익 상당액 3년의 범위에서 대통령령으로 정하는 기간 이내에  분할신설법인이 분할법인으로부터 승계받은 사업을 폐지하는 경우  사유가 발생하는 경우," 손금에 산입한 금액따라 익금에 산입하고 남은 금액을 그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 익금에 산입한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는 ",법인세법
양도차익 상당액을 손금에 산입한 분할법인은 3년이내에  100분의 50 미만으로 주식등을 보유하게 되는 경우  사유가 발생하는 경우," 손금에 산입한 금액따라 익금에 산입하고 남은 금액을 그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 익금에 산입한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는 ",법인세법
양도차익 상당액을 손금에 산입한 분할법인은 분할등기일부터 3년의 범위에서 대통령령으로 정하는 기간 이내에  각 사업연도 종료일 현재 분할신설법인에 종사하는 대통령령으로 정하는 근로자(이하 이 호에서 “근로자”라 한다) 수가 분할등기일 1개월 전 당시 분할하는 사업부문에 종사하는 근로자 수의 100분의 80 미만으로 하락하는 경우  사유가 발생하는 경우,"손금에 산입한 금액 중 제2항에 따라 익금에 산입하고 남은 금액을 그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 익금에 산입한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
피출자법인이 적격합병되거나 적격분할하는 등 대통령령으로 정하는 부득이한 사유가 있는 경우,그러하지 아니하다. ,법인세법
자산의 처분 사실을 처분일부터 1개월 이내에 출자법인에 알려야 하지만 적격합병되거나 적격분할하는 등 대통령령으로 정하는 부득이한 사유가 있는 경우,그러하지 아니하다. ,법인세법
양도차익 상당액을 손금에 산입한 출자법인은 현물출자일부터 3년의 범위에서 대통령령으로 정하는 기간 이내에  피출자법인이 출자법인이 현물출자한 자산으로 영위하던 사업을 폐지하는 경우  사유가 발생하는 경우," 손금에 산입한 금액따라 익금에 산입하고 남은 금액을 그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 익금에 산입한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는 ",법인세법
3년의 범위에서 출자법인등이 피출자법인의 발행주식총수 또는 출자총액의 100분의 50 미만으로 주식등을 보유하게 되는 경우  사유가 발생하는 경우," 손금에 산입한 금액따라 익금에 산입하고 남은 금액을 그 사유가 발생한 날이 속하는 사업연도의 소득금액을 계산할 때 익금에 산입한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는 ",법인세법
"배당을 받은 주주등에 대하여 이 법 또는 「조세특례제한법」에 따라 그 배당에 대한 소득세 또는 법인세가 비과세되는 경우. 다만, 배당을 받은 주주등이 「조세특례제한법」 제100조의15동업기업과세특례를 적용받는 동업기업인 경우로서 그 동업자들에 대하여 같은 법 제100조의18배분받은 배당에 해당하는 소득에 대한 소득세 또는 법인세가 전부 과세되는 경우는 제외한다.  경우", 적용하지 아니한다. ,법인세법
 배당을 지급하는 내국법인이 주주등의 수 등을 고려하여 대통령령으로 정하는 기준에 해당하는 법인인 경우  경우, 적용하지 아니한다. ,법인세법
"“비사업용 토지”란 토지를 소유하는 기간 중 대통령령으로 정하는 기간 동안  별장의 부속토지. 다만, 별장에 부속된 토지의 경계가 명확하지 아니한 경우",그 건축물 바닥면적의 10배에 해당하는 토지를 부속토지로 본다.  토지를 말한다. ,법인세법
「소득세법」 해당하는 주식등과 대통령령으로 정하는 주식등 산의 양도로 인하여 발생하는 소득(이하 이 조에서 “자산양도소득”이라 한다)이 있는 경우,제60조과세표준 신고를 하지 아니할 수 있다. 이 경우 과세표준 신고를 하지 아니한 자산양도소득은 각 사업연도의 소득금액을 계산할 때 포함하지 아니한다. ,법인세법
토지 또는 건물(건물에 부속된 시설물과 구축물을 포함한다) 산의 양도로 인하여 발생하는 소득(이하 이 조에서 “자산양도소득”이라 한다)이 있는 경우,제60조과세표준 신고를 하지 아니할 수 있다. 이 경우 과세표준 신고를 하지 아니한 자산양도소득은 각 사업연도의 소득금액을 계산할 때 포함하지 아니한다. ,법인세법
「소득세법」 자산 산의 양도로 인하여 발생하는 소득(이하 이 조에서 “자산양도소득”이라 한다)이 있는 경우,제60조과세표준 신고를 하지 아니할 수 있다. 이 경우 과세표준 신고를 하지 아니한 자산양도소득은 각 사업연도의 소득금액을 계산할 때 포함하지 아니한다. ,법인세법
중간예납의 납부기한까지 중간예납세액을 납부하지 아니한 경우,직전 연결사업연도의 산출세액을 기준으로 하는 방법을 사용한다.,법인세법
직전 사업연도의 법인세로서 확정된 산출세액(가산세는 제외한다)이 없는 경우(제51조의2제1항 각 호 또는 「조세특례제한법」 제104조의31법인의 경우는 제외한다)  경우,해당 중간예납기간의 법인세액을 기준으로 하는 방법 사용,법인세법
 해당 중간예납기간 만료일까지 직전 사업연도의 법인세액이 확정되지 아니한 경우  경우,해당 중간예납기간의 법인세액을 기준으로 하는 방법 사용,법인세법
 분할신설법인 또는 분할합병의 상대방 법인의 분할 후 최초의 사업연도인 경우  경우,해당 중간예납기간의 법인세액을 기준으로 하는 방법 사용,법인세법
합병법인이 합병 후 최초의 사업연도에 따라 중간예납세액을 납부하는 경우,합병법인의 직전 사업연도  구분에 따른 사업연도를 모두 제1항제1호에 따른 직전 사업연도로 본다.,법인세법
합병법인이 합병 후 최초의 사업연도에 따라 중간예납세액을 납부하는 경우,각 피합병법인의 합병등기일이 속하는 사업연도의 직전 사업연도  구분에 따른 사업연도를 모두 제1항제1호에 따른 직전 사업연도로 본다.,법인세법
납세지 관할 세무서장 또는 관할지방국세청장은 신고를 한 내국법인이  신고 내용에 오류 또는 누락이 있는 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
"납세지 관할 세무서장 또는 관할지방국세청장은 신고를 한 내국법인이   지급명세서,  매출ㆍ매입처별 계산서합계표의 전부 또는 일부를 제출하지 아니한 경우  경우",그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
납세지 관할 세무서장 또는 관할지방국세청장은 신고를 한 내국법인이  다음 각 목의 어느 하나에 해당하는 경우로서 시설 규모나 영업 현황으로 보아 신고 내용이 불성실하다고 판단되는 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
신용카드가맹점 가입 요건에 해당하는 법인이 정당한 사유 없이 「여신전문금융업법」에 따른 신용카드가맹점(법인만 해당한다. 이하 “신용카드가맹점”이라 한다)으로 가입하지 아니한 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
내국법인이  신용카드가맹점이 정당한 사유 없이  위반하여 신용카드에 의한 거래를 거부하거나 신용카드 매출전표를 사실 과 다르게 발급한 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
내국법인이 현금영수증가맹점 가입 대상자로 지정받은 법인이 정당한 사유 없이 현금영수증가맹점(이하 “현금영수증가맹점”이라 한다)으로 가입하지 아니한 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
내국법인이  현금영수증가맹점이 정당한 사유 없이 현금영수증 발급을 거부하거나 사실과 다르게 발급한 경우  경우,그 법인의 각 사업연도의 소득에 대한 법인세의 과세표준과 세액을 경정한다. ,법인세법
납세지 관할 세무서장은  제 법인세를 환급한 후 결손금이 발생한 사업연도에 대한 법인세 과세표준과 세액을 경정함으로써 결손금이 감소된 경우  어느 하나에 해당되는 경우,환급세액(제1호 및 제2호의,법인세법
납세지 관할 세무서장은  결손금이 발생한 사업연도의 직전 사업연도에 대한 법인세 과세표준과 세액을 경정함으로써 환급세액이 감소된 경우  어느 하나에 해당되는 경우,환급세액(제1호 및 제2호의,법인세법
납세지 관할 세무서장은  중소기업에 해당하지 아니하는 내국법인이 법인세를 환급받은 경우  어느 하나에 해당되는 경우,환급세액(제1호 및 제2호의,법인세법
 주식등변동상황명세서를 제출하여야 하는 내국법인이  명세서를 제출하지 아니한 경우  경우,그 주식등의 액면금액 또는 출자가액의 100분의 1을 가산세로 해당 사업연도의 법인세액에 더하여 납부하여야 한다.,법인세법
 주식등변동상황명세서를 제출하여야 하는 내국법인이  명세서에 주식등의 변동사항을 누락하여 제출한 경우  경우,그 주식등의 액면금액 또는 출자가액의 100분의 1을 가산세로 해당 사업연도의 법인세액에 더하여 납부하여야 한다.,법인세법
 주식등변동상황명세서를 제출하여야 하는 내국법인이  제출한 명세서가 대통령령으로 정하는 불분명한 경우에 해당하는 경우  경우,그 주식등의 액면금액 또는 출자가액의 100분의 1을 가산세로 해당 사업연도의 법인세액에 더하여 납부하여야 한다.,법인세법
내국법인이  위반하여 현금영수증가맹점으로 가입하지 아니하거나 그 가입기한이 지나서 가입한 경우: 가입하지 아니한 사업연도의 수입금액(둘 이상의 업종을 하는 법인인 경우,"대통령령으로 정하는 업종에서 발생한 수입금액만 해당하며, 세금계산서 발급분 등 대통령령으로 정하는 수입금액은 제외한다)의 100분의 1에 가입하지 아니한 기간을 고려하여 대통령령으로 정하는 바에 따라 계산한 비율을 곱한 금액",법인세법
"내국법인이 현금영수증 발급을 거부하거나 사실과 다르게 발급하여 같은 조 제6항 후단에 따라 납세지 관할 세무서장으로부터 통보받은 경우(현금영수증의 발급대상 금액이 건당 5천원 이상인 경우만 해당하며, 제3호에 해당하는 경우는 제외한다): 통보받은 건별 발급 거부 금액 또는 사실과 다르게 발급한 금액(건별로 발급하여야 할 금액과의 차액을 말한다)의 100분의 5(건별로 계산한 금액이 5천원 미만이면 5천원으로 한다)  경우",다음 각 호의 구분에 따른 금액을 가산세로 해당 사업연도의 법인세액에 더하여 납부하여야 한다. ,법인세법
내국법인이 현금영수증을 발급하지 아니한 경우(「국민건강보험법」에 따른 보험급여의 대상인 경우 등 대통령령으로 정하는 경우는 제외한다),100분의 10으로 한다,법인세법
미발급금액의 100분의 20(착오나 누락으로 인하여 거래대금을 받은 날부터 10일 이내에 관할 세무서에 자진 신고하거나 현금영수증을 자진 발급한 경우,100분의 10으로 한다,
"일용근로소득에 대한 지급명세서를 그 소득 지급일이 속하는 분기의 마지막 달의 다음 달 말일휴업, 폐업 또는 해산한 경우"," 휴업일, 폐업일 또는 해산일이 속하는 분기의 마지막 달의 다음 달 말일)까지 제출하는 경우  ",법인세법
"소득에 대한 간이지급명세서를 그 소득 지급일이 속하는 반기의 마지막 달의 다음 달 말(휴업, 폐업 또는 해산한 경우"," 휴업일, 폐업일 또는 해산일이 속하는 반기의 마지막 달의 다음 달 말일)까지 제출하는 경우  ",법인세법
" 연결납세방식을 적용받는 연결모법인 간의 적격합병  합병, 분할 또는 주식의 포괄적 교환ㆍ이전의 경우","그 합병일, 분할일 또는 교환ㆍ이전일이 속하는 연결사업연도에 한정하여 연결납세방식을 적용할 수 있다. ",법인세법
"연결납세방식을 적용받는 연결모법인 간의 주식의 포괄적 교환ㆍ이전(「조세특례제한법」 제38조에 따라 과세이연을 받는 경우만 해당한다)  합병, 분할 또는 주식의 포괄적 교환ㆍ이전의 경우","그 합병일, 분할일 또는 교환ㆍ이전일이 속하는 연결사업연도에 한정하여 연결납세방식을 적용할 수 있다. ",법인세법
" 연결납세방식을 적용받는 연결모법인의 적격분할  합병, 분할 또는 주식의 포괄적 교환ㆍ이전의 경우","그 합병일, 분할일 또는 교환ㆍ이전일이 속하는 연결사업연도에 한정하여 연결납세방식을 적용할 수 있다. ",법인세법
연결납세는 연결사업연도의 개시일부터 4년 이내에 끝나는 연결사업연도 중에 연결납세방식의 적용 승인이 취소된 부득이한 경우일때,익금 또는 손금에 각각 산입하지 않아도 됩니다,법인세법
소득금액이나 결손금을 연결납세방식의 적용 승인이 취소된 사업연도의 익금 또는 손금에 각각 산입하여 하는데 대통령령으로 정하는 부득이한 사유가 있는 경우에는?,익금 또는 손금에 각각 산입하지 않아도 됨,
"연결납세방식을 적용받은 각 연결법인은 연결납세방식을 적용받은 연결사업연도와 그 다음 연결사업연도의 개시일부터 4년 이내에 끝나는 연결사업연도 중에 연결납세방식의 적용 승인이 취소된 경우  연결사업연도 동안 제76조의14다른 연결법인의 소득금액과 합한 해당 법인의 결손금: 손금에 산입  구분에 따라 소득금액이나 결손금을 연결납세방식의 적용 승인이 취소된 사업연도의 익금 또는 손금에 각각 산입하여야 한다. 다만, 대통령령으로 정하는 부득이한 사유가 있는 경우",익금 또는 손금에 각각 산입하지 않아도 된답니다,법인세법
연결배제법인의 익금에 산입  구분에 따라 소득금액 또는 결손금을 해당 사유가 발생한 날이 속하는 사업연도의 익금 또는 손금에 각각 산입하여야 하는데 대통령령으로 정하는 부득이한 사유가 있는 경우,익금 또는 손금에 각각 산입하지 않아도 돼요,법인세법
